author,papers_count
"Nitish Srivastava, Russ R. Salakhutdinov",2
"Liangpeng Zhang, Ke Tang, Xin Yao",2
"Jeffrey Pennington, Pratik Worah",2
"Po-ling Loh, Martin J. Wainwright",2
"Eizaburo Doi, Michael Lewicki",2
Taiji Suzuki,2
"Gabriele Farina, Chun Kai Ling, Fei Fang, Tuomas Sandholm",2
"Michael Dinitz, Sungjin Im, Thomas Lavastida, Benjamin Moseley, Sergei Vassilvitskii",2
"Zhuo Wang, Alan A. Stocker, Daniel D. Lee",2
"Fei Sha, Lawrence Saul",2
"Qinglong Zhang, Yu-Bin Yang",2
"Maksims Volkovs, Richard Zemel",2
John Harris,2
"Se-Young Yun, Alexandre Proutiere",2
"Christian Darken, John Moody",2
"Yang Song, Stefano Ermon",2
"Yu-Guan Hsieh, Franck Iutzeler, Jérôme Malick, Panayotis Mertikopoulos",2
"Qiang Liu, Dilin Wang",2
Nicholas Ruozzi,2
"Koby Crammer, Yoram Singer",2
"Jianghong Shi, Eric Shea-Brown, Michael Buice",2
"Jack Cowan, A. Friedman",2
"Tyler B. Johnson, Carlos Guestrin",2
"Matthew Lawlor, Steven W. Zucker",2
"Jason D. Lee, Yuekai Sun, Jonathan E. Taylor",2
"Yonghan Jung, Jin Tian, Elias Bareinboim",2
"Atsutoshi Kumagai, Tomoharu Iwata, Yasuhiro Fujiwara",2
Vrettos Moulos,2
"Lizhen Nie, Dan Nicolae",2
John Bridle,2
"Lorenzo Dall'Amico, Romain Couillet, Nicolas Tremblay",2
"Zelda E. Mariet, Suvrit Sra",2
"Michael Jordan, Robert Jacobs",2
"Martin Klissarov, Doina Precup",2
"David Touretzky, Deirdre Wheeler",2
"XuanLong Nguyen, Martin J. Wainwright, Michael Jordan",2
"Felix Petersen, Christian Borgelt, Hilde Kuehne, Oliver Deussen",2
"Malte Kuss, Carl Rasmussen",2
"Xiaofei He, Deng Cai, Partha Niyogi",2
"Gal Chechik, Naftali Tishby",2
"Se-Young Yun, marc lelarge, Alexandre Proutiere",2
Felipe Tobar,2
"Chakra Chennubhotla, Allan Jepson",2
"Pedro Mercado, Francesco Tudisco, Matthias Hein",2
"Kareem Amin, Afshin Rostamizadeh, Umar Syed",2
Subutai Ahmad,2
"David DeMers, Kenneth Kreutz-Delgado",2
"Alex Smola, S.v.n. Vishwanathan",2
"Ilja Kuzborskij, Nicolò Cesa-Bianchi",2
Wataru Kumagai,2
"Purushottam Kar, Prateek Jain",2
Christoph H. Lampert,2
"Guo-Zheng Sun, Hsing-Hen Chen, Yee-Chun Lee",2
"Huan Xu, Shie Mannor",2
"Jaedeug Choi, Kee-eung Kim",2
"Christian Horvat, Jean-Pascal Pfister",2
"Isaac Meilijson, Eytan Ruppin",2
"Khaled S. Refaat, Arthur Choi, Adnan Darwiche",2
"Maneesh Sahani, Jennifer Linden",2
"Alex K. Susemihl, Ron Meir, Manfred Opper",2
"Yan Karklin, Michael Lewicki",2
"Mark Herbster, Stephen Pasteris, Lisa Tse",2
"Adam Bielski, Paolo Favaro",2
"Zhongxiang Dai, Bryan Kian Hsiang Low, Patrick Jaillet",2
"Zhiqiang Xu, Ping Li",2
"Shantanu Chakrabartty, Gert Cauwenberghs",2
"Jason Chang, John W. Fisher III",2
"Wei Tang, Chien-Ju Ho, Yang Liu",2
"Viet Anh Nguyen, Soroosh Shafieezadeh Abadeh, Man-Chung Yue, Daniel Kuhn, Wolfram Wiesemann",2
"Kelly Zhang, Lucas Janson, Susan Murphy",2
"Jose M. Alvarez, Mathieu Salzmann",2
Laurence Aitchison,2
"Jiashi Feng, Huan Xu, Shie Mannor, Shuicheng Yan",2
"Dietrich Wettschereck, Thomas Dietterich",2
"Jean-Bastien Grill, Michal Valko, Remi Munos",2
"Vudtiwat Ngampruetikorn, David J. Schwab",2
"Daniela Farias, Benjamin Roy",2
"Edouard YVINEC, Arnaud Dapogny, Matthieu Cord, Kevin Bailly",2
Aaron Defazio,2
"Christoph Sawade, Niels Landwehr, Tobias Scheffer",2
"Behrooz Ghorbani, Song Mei, Theodor Misiakiewicz, Andrea Montanari",2
"Harald Steck, Tommi Jaakkola",2
Rémi Munos,2
"Mufan Li, Mihai Nica, Dan Roy",2
"Alexander Rakhlin, Karthik Sridharan, Ambuj Tewari",2
Gert Cauwenberghs,2
"Robert Crites, Andrew Barto",2
"Javad Azimi, Alan Fern, Xiaoli Fern",2
"Ashok Cutkosky, Kwabena A. Boahen",2
"Ziping Xu, Ambuj Tewari",2
"Genevieve Orr, Todd Leen",2
"Anshumali Shrivastava, Ping Li",2
"Arya Akhavan, Massimiliano Pontil, Alexandre Tsybakov",2
"Andrey Malinin, Mark Gales",2
"Aditya Bhaskara, Ashok Cutkosky, Ravi Kumar, Manish Purohit",2
"Andy Shih, Dorsa Sadigh, Stefano Ermon",2
"Xuan-Phi Nguyen, Shafiq Joty, Kui Wu, Ai Ti Aw",2
"Adel Javanmard, Andrea Montanari",2
"Ji Xu, Daniel J. Hsu, Arian Maleki",2
"Yair Wiener, Ran El-Yaniv",2
David Barber,2
"Farzan Farnia, David Tse",2
"Baihe Huang, Kaixuan Huang, Sham Kakade, Jason D. Lee, Qi Lei, Runzhe Wang, Jiaqi Yang",2
"Samuel Daulton, Maximilian Balandat, Eytan Bakshy",2
"Lingxiao Huang, K Sudhir, Nisheeth Vishnoi",2
"Kamalika Chaudhuri, Sanjoy Dasgupta",2
"Ayush Jain, Alon Orlitsky",2
Jon Kleinberg,2
"Jingwei Liang, Jalal Fadili, Gabriel Peyré",2
"Tong Chen, Jean B. Lasserre, Victor Magron, Edouard Pauwels",2
"Thijs Vogels, Sai Praneeth Karimireddy, Martin Jaggi",2
Rishi Saket,2
"Shinsaku Sakaue, Taihei Oki",2
"Dan Klein, Christopher D. Manning",2
"James Thewlis, Hakan Bilen, Andrea Vedaldi",2
"Cong Han Lim, Stephen Wright",2
"Magnus Stensmo, Terrence J. Sejnowski",2
"Marie Maros, Gesualdo Scutari",2
"Zhe Dong, Andriy Mnih, George Tucker",2
"Boris Hanin, David Rolnick",2
"Rie Johnson, Tong Zhang",2
"Justin Boyan, Michael Littman",2
"Jie Wang, Jieping Ye",2
"Shenghuo Zhu, Kai Yu, Yihong Gong",2
"Sergey Levine, Zoran Popovic, Vladlen Koltun",2
"Chen-Yu Wei, Yi-Te Hong, Chi-Jen Lu",2
"Ali Rahimi, Benjamin Recht",2
"Hoang Tran, Ashok Cutkosky",2
"Ching-An Cheng, Byron Boots",2
"Duc Thien Nguyen, Akshat Kumar, Hoong Chuin Lau",2
"Alexandre Pouget, Terrence J. Sejnowski",2
"Ping Li, Kenneth Church, Trevor Hastie",2
"Amrutha Saseendran, Kathrin Skubch, Stefan Falkner, Margret Keuper",2
"Hongseok Namkoong, John C. Duchi",2
T. Zhang,2
"Greg Ver Steeg, Aram Galstyan",2
"Nanda Kambhatla, Todd Leen",2
"Max Garzon, Fernanda Botelho",2
"David Adametz, Volker Roth",2
"Mohammad Saberian, Nuno Vasconcelos",2
"James Petterson, Tibério Caetano",2
Samory Kpotufe,2
"Ian Osband, Benjamin Van Roy",2
Ryotaro Kamimura,2
"Christoph Bregler, Stephen Omohundro",2
"Mingjun Zhong, Nigel Goddard, Charles Sutton",2
"Zaiwei Chen, Siva Theja Maguluri, Sanjay Shakkottai, Karthikeyan Shanmugam",2
"Fabian L. Wauthier, Michael Jordan",2
"Xiaohan Chen, Jialin Liu, Zhangyang Wang, Wotao Yin",2
Mark Paskin,2
"Yanis Bahroun, Dmitri Chklovskii, Anirvan Sengupta",2
"Martin J. Wainwright, Tommi Jaakkola, Alan Willsky",2
"Sung-Soo Ahn, Michael Chertkov, Jinwoo Shin",2
"Da Xu, Chuanwei Ruan, Evren Korpeoglu, Sushant Kumar, Kannan Achan",2
"Guy Bresler, David Gamarnik, Devavrat Shah",2
"Gauri Jagatap, Chinmay Hegde",2
"Thomas Hofmann, Joachim Buhmann",2
Eric Saund,2
"Vikas Sindhwani, Aurelie C. Lozano",2
"Stefan Schaal, Christopher Atkeson",2
"Oluwasanmi O. Koyejo, Nagarajan Natarajan, Pradeep K. Ravikumar, Inderjit S. Dhillon",2
"Alekh Agarwal, Sahand Negahban, Martin J. Wainwright",2
"Andreas Maurer, Massimiliano Pontil",2
"Zoubin Ghahramani, Michael Jordan",2
Mingyuan Zhou,2
Javier Movellan,2
"Thea Ghiselli-Crippa, Paul Munro",2
"Amir Globerson, Tommi Jaakkola",2
Nir Ailon,2
"Thomas Briegel, Volker Tresp",2
"Dieqiao Feng, Carla P. Gomes, Bart Selman",2
"Wanyun Cui, Xingran Chen",2
Marcello Pelillo,2
"Ozan Sener, Vladlen Koltun",2
"Marc Rigter, Bruno Lacerda, Nick Hawes",2
"Sundeep Rangan, Vivek Goyal, Alyson K. Fletcher",2
"Stéphan Clémençcon, Nicolas Vayatis",2
"Alireza Makhzani, Brendan J. Frey",2
Shih-Chii Liu,2
"Alireza Fallah, Aryan Mokhtari, Asuman Ozdaglar",2
"Guillermo Ortiz-Jimenez, Apostolos Modas, Seyed-Mohsen Moosavi, Pascal Frossard",2
"Gal Vardi, Gilad Yehudai, Ohad Shamir",2
"Julien Audiffren, Liva Ralaivola",2
Siwei Lyu,2
"Lawrence Saul, Mazin Rahim",2
"Zhaoping Li, Peter Dayan",2
"Ilai Bistritz, Nicholas Bambos",2
"Tushar Nagarajan, Kristen Grauman",2
"Odalric Maillard, Rémi Munos",2
"Kevin Ellis, Armando Solar-Lezama, Josh Tenenbaum",2
"Zebang Shen, Zhenfu Wang, Alejandro Ribeiro, Hamed Hassani",2
"Giulia Denevi, Massimiliano Pontil, Carlo Ciliberto",2
"Pierre Garrigues, Bruno Olshausen",2
"Yoram Singer, Manfred K. K. Warmuth",2
"Bartlett Mel, Daniel Ruderman, Kevin Archie",2
"David Barber, Christopher Bishop",2
"Noam Brown, Tuomas Sandholm",2
Qijia Jiang,2
"Kun Su, Xiulong Liu, Eli Shlizerman",2
"Wei-Ning Chen, Peter Kairouz, Ayfer Ozgur",2
Tor Lattimore,2
"Anton Chechetka, Carlos Guestrin",2
"Jack Lindsey, Ashok Litwin-Kumar",2
"Mike Wu, Noah Goodman",2
"Jeremy De Bonet, Paul Viola",2
"Mojmir Mutny, Andreas Krause",2
"Ingo Steinwart, Andreas Christmann",2
"Gal Chechik, Isaac Meilijson, Eytan Ruppin",2
"Haonan Yu, Wei Xu, Haichao Zhang",2
Toshiyuki Tanaka,2
"Kate Saenko, Trevor Darrell",2
"Laurent Itti, Jochen Braun, Dale Lee, Christof Koch",2
"Yang Wang, Greg Mori",2
"Vitaly Kuznetsov, Mehryar Mohri",2
"Badih Ghazi, Ravi Kumar, Pasin Manurangsi",2
"Amit Manwani, Christof Koch",2
"Hamed Masnadi-shirazi, Nuno Vasconcelos",2
Kari Torkkola,2
"HyeongJoo Hwang, Geon-Hyeong Kim, Seunghoon Hong, Kee-Eung Kim",2
"Rishabh Agarwal, Max Schwarzer, Pablo Samuel Castro, Aaron C. Courville, Marc Bellemare",2
"Yves Grandvalet, Stéphane Canu",2
"Tony Jebara, Alex Pentland",2
"Alexis Bellot, Mihaela van der Schaar",2
"Hoi-To Wai, Zhuoran Yang, Zhaoran Wang, Mingyi Hong",2
"Pierre-arnaud Coquelin, Romain Deguest, Rémi Munos",2
"Peter Schulam, Suchi Saria",2
"Yossi Arjevani, Ohad Shamir",2
"Han Liu, Larry Wasserman, John Lafferty",2
"Sid Reddy, Anca Dragan, Sergey Levine",2
Luigi Acerbi,2
"Denizalp Goktas, Amy Greenwald",2
"Shuxuan Guo, Jose M. Alvarez, Mathieu Salzmann",2
"Daniel Zoran, Yair Weiss",2
Brendan J. Frey,2
"Gabriele Farina, Tuomas Sandholm",2
"Andrew Naish-guzman, Sean Holden",2
"Fariborz Salehi, Ehsan Abbasi, Babak Hassibi",2
"Pan Li, Olgica Milenkovic",2
Tony A. Plate,2
Dan Garber,2
Mark Ring,2
"Marco Bressan, Nicolò Cesa-Bianchi, Silvio Lattanzi, Andrea Paudice",2
"Zhilu Zhang, Mert Sabuncu",2
"Ron Zass, Amnon Shashua",2
"Dmitry Kovalev, Alexander Gasnikov",2
"Dan Pelleg, Andrew Moore",2
"Chen Yanover, Yair Weiss",2
"Zhen Lin, Shubhendu Trivedi, Jimeng Sun",2
Balázs Kégl,2
"Charlie Tang, Russ R. Salakhutdinov",2
"Itay Gat, Naftali Tishby",2
"Siwei Lyu, Eero Simoncelli",2
"Matthew Reimherr, Jordan Awan",2
"Mahito Sugiyama, Karsten Borgwardt",2
"Suhas Kowshik, Dheeraj Nagaraj, Prateek Jain, Praneeth Netrapalli",2
"Zhao Song, David Woodruff, Peilin Zhong",2
"Michail G. Lagoudakis, Ronald Parr",2
Marcus Hutter,2
"Bill Baird, Todd Troyer, Frank Eeckman",2
"Peter Sollich, David Barber",2
"Bernhard Nessler, Michael Pfeiffer, Wolfgang Maass",2
"Yanxi Li, Zhaohui Yang, Yunhe Wang, Chang Xu",2
"Hagai Attias, Christoph Schreiner",2
"Nicolas Keriven, Alberto Bietti, Samuel Vaiter",2
Yair Weiss,2
Zeyuan Allen-Zhu,2
Charles Kemp,2
"Daniel Lee, H. Sebastian Seung",2
"John Tsitsiklis, Benjamin Van Roy",2
"Umar Syed, Robert E. Schapire",2
